epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2209.53,1.31307,4.35951,0.00693,0.65933,0.34433,0.34113,0.21447,1.20325,3.07957,0.00879,0.000475028,0.000475028,0.000475028
2,4363.51,1.30902,1.93108,0.00723,0.74873,0.3704,0.43073,0.2589,1.26584,1.34063,0.00984,0.000904269,0.000904269,0.000904269
3,6499.83,1.3234,1.19023,0.00731,0.50164,0.4517,0.43194,0.27944,1.23125,1.02725,0.00944,0.00128635,0.00128635,0.00128635
4,8662.63,1.3323,1.03097,0.0071,0.48921,0.51087,0.48218,0.29263,1.22902,0.85594,0.0094,0.00121679,0.00121679,0.00121679
5,10852.8,1.31751,0.95524,0.00721,0.59045,0.48852,0.51458,0.32647,1.201,0.83115,0.00891,0.00114606,0.00114606,0.00114606
6,13055.6,1.28937,0.88708,0.00704,0.54451,0.50654,0.50455,0.33511,1.17847,0.78695,0.00862,0.00107532,0.00107532,0.00107532
7,15258.3,1.26913,0.86783,0.00676,0.53128,0.54215,0.51295,0.31848,1.23263,0.75269,0.00921,0.00100459,0.00100459,0.00100459
8,17455.1,1.26042,0.82205,0.00677,0.60074,0.55371,0.55512,0.35039,1.14664,0.7071,0.0084,0.000933851,0.000933851,0.000933851
9,19663.7,1.24931,0.81403,0.00648,0.60915,0.48088,0.51348,0.33078,1.13426,0.71896,0.00823,0.000863116,0.000863116,0.000863116
10,21861.9,1.23186,0.79035,0.00645,0.67249,0.51944,0.58458,0.37171,1.16512,0.69984,0.0085,0.00079238,0.00079238,0.00079238
11,24038.1,1.1316,0.65612,0.00681,0.67209,0.5096,0.56377,0.3628,1.12773,0.67339,0.00827,0.000721645,0.000721645,0.000721645
12,26216,1.13565,0.63732,0.00672,0.64699,0.58062,0.58719,0.38029,1.11813,0.67399,0.00817,0.000650909,0.000650909,0.000650909
13,28393.7,1.10413,0.60368,0.00652,0.64952,0.5888,0.60467,0.38729,1.13593,0.6562,0.00835,0.000580174,0.000580174,0.000580174
14,30570.2,1.08972,0.59177,0.00645,0.67894,0.56784,0.61319,0.40615,1.10832,0.64835,0.00787,0.000509438,0.000509438,0.000509438
15,32748.5,1.07225,0.58008,0.00606,0.66725,0.55626,0.60115,0.39932,1.11026,0.65646,0.008,0.000438703,0.000438703,0.000438703
16,34926.9,1.04121,0.54681,0.0059,0.68654,0.56852,0.6002,0.40008,1.08733,0.63872,0.00782,0.000367967,0.000367967,0.000367967
17,37105.5,1.03354,0.55443,0.00586,0.72139,0.55685,0.60524,0.41141,1.07344,0.64321,0.00765,0.000297232,0.000297232,0.000297232
18,39282.1,1.00797,0.52561,0.0056,0.73366,0.54569,0.61459,0.41649,1.06381,0.62879,0.00745,0.000226497,0.000226497,0.000226497
19,41458.9,0.99739,0.52143,0.00552,0.715,0.54722,0.6136,0.42178,1.06257,0.62797,0.00745,0.000155761,0.000155761,0.000155761
20,43635.9,0.99345,0.51442,0.00548,0.6933,0.55394,0.61675,0.42362,1.06314,0.62562,0.00743,8.50255e-05,8.50255e-05,8.50255e-05
