epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,246.773,1.30411,4.80744,0.0069,0.69962,0.28634,0.33304,0.21804,1.19768,3.72356,0.00882,0.00047373,0.00047373,0.00047373
2,479.919,1.32146,2.17404,0.00712,0.46997,0.37284,0.35572,0.22049,1.29884,1.63123,0.01031,0.000918712,0.000918712,0.000918712
3,705.798,1.32911,1.37246,0.00721,0.45469,0.38564,0.39519,0.23757,1.30587,1.1873,0.01005,0.00133225,0.00133225,0.00133225
4,925.551,1.33559,1.19781,0.00737,0.46697,0.44961,0.42562,0.2544,1.30547,1.08643,0.00993,0.00128753,0.00128753,0.00128753
5,1150.77,1.32239,1.10103,0.00725,0.52939,0.43833,0.4277,0.2645,1.25358,1.06691,0.00944,0.00124037,0.00124037,0.00124037
6,1377.18,1.2971,1.01496,0.00723,0.51221,0.47223,0.47563,0.28845,1.24223,0.93134,0.00943,0.00119322,0.00119322,0.00119322
7,1606.33,1.30085,1.00866,0.00689,0.6097,0.46339,0.50123,0.3055,1.24376,0.94623,0.0095,0.00114606,0.00114606,0.00114606
8,1831.15,1.31353,0.95169,0.00689,0.60861,0.44898,0.48936,0.30102,1.23926,0.91907,0.00921,0.0010989,0.0010989,0.0010989
9,2057.89,1.27703,0.93982,0.0068,0.55972,0.52285,0.5158,0.32777,1.27206,0.89957,0.00958,0.00105174,0.00105174,0.00105174
10,2281.67,1.26074,0.8921,0.00671,0.6967,0.51752,0.56125,0.34867,1.19562,0.8455,0.00877,0.00100459,0.00100459,0.00100459
11,2509.04,1.26634,0.8738,0.00667,0.61634,0.54625,0.54676,0.34699,1.17367,0.77975,0.00843,0.00095743,0.00095743,0.00095743
12,2731.98,1.25334,0.84272,0.0064,0.67048,0.55339,0.57293,0.37916,1.16382,0.76138,0.00842,0.000910273,0.000910273,0.000910273
13,2956.66,1.22778,0.81152,0.00637,0.62469,0.57079,0.56791,0.37029,1.15291,0.76977,0.00835,0.000863116,0.000863116,0.000863116
14,3182.62,1.21846,0.81789,0.00644,0.65709,0.55308,0.56816,0.37275,1.13803,0.7559,0.00816,0.000815959,0.000815959,0.000815959
15,3405.17,1.16131,0.76365,0.00615,0.66566,0.56719,0.57493,0.36835,1.14588,0.74481,0.00822,0.000768802,0.000768802,0.000768802
16,3629.05,1.19355,0.78814,0.00612,0.60305,0.59385,0.57802,0.38655,1.11084,0.73491,0.00789,0.000721645,0.000721645,0.000721645
17,3852.95,1.15958,0.75499,0.00597,0.71049,0.55049,0.60522,0.40534,1.11643,0.70184,0.00803,0.000674488,0.000674488,0.000674488
18,4078.99,1.16957,0.74318,0.00585,0.68488,0.5596,0.59051,0.39041,1.16791,0.72325,0.00843,0.000627331,0.000627331,0.000627331
19,4304.54,1.14244,0.70926,0.00588,0.72365,0.57699,0.61103,0.41473,1.09986,0.67644,0.00777,0.000580174,0.000580174,0.000580174
20,4528.17,1.14939,0.71725,0.00561,0.74157,0.54947,0.6115,0.40535,1.09167,0.68221,0.00779,0.000533017,0.000533017,0.000533017
21,4766.8,1.1,0.64022,0.00625,0.64736,0.60373,0.58941,0.39977,1.09162,0.69485,0.00775,0.00048586,0.00048586,0.00048586
22,4985.17,1.06735,0.59928,0.00604,0.66353,0.58983,0.60638,0.40918,1.0785,0.67633,0.00756,0.000438703,0.000438703,0.000438703
23,5200.2,1.0565,0.57149,0.0059,0.65194,0.5954,0.6202,0.42605,1.08685,0.66399,0.00762,0.000391546,0.000391546,0.000391546
24,5421.41,1.03609,0.5556,0.00585,0.67071,0.62612,0.61979,0.42434,1.08456,0.67129,0.00754,0.000344389,0.000344389,0.000344389
25,5633.88,1.02544,0.5532,0.00566,0.71188,0.56978,0.61306,0.41595,1.06722,0.66119,0.00748,0.000297232,0.000297232,0.000297232
26,5852.46,1.0136,0.53439,0.00556,0.73034,0.58273,0.62459,0.42389,1.07594,0.66064,0.00751,0.000250075,0.000250075,0.000250075
27,6078.22,1.00114,0.52369,0.00546,0.76353,0.56122,0.62428,0.42242,1.06715,0.64354,0.00741,0.000202918,0.000202918,0.000202918
28,6300.53,0.98881,0.51395,0.00535,0.74354,0.56698,0.62245,0.42672,1.06046,0.64274,0.00735,0.000155761,0.000155761,0.000155761
29,6525.13,0.98166,0.51081,0.00524,0.69978,0.59156,0.61846,0.42376,1.06073,0.63896,0.00737,0.000108604,0.000108604,0.000108604
30,6751.01,0.97201,0.50376,0.00525,0.71889,0.57564,0.61628,0.42121,1.06187,0.64187,0.00738,6.1447e-05,6.1447e-05,6.1447e-05
