epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29979.2,1.48628,3.83584,0.00873,0.80929,0.14617,0.14046,0.0908,1.38922,2.88774,0.0102,0.000158232,0.000158232,0.000158232
2,33233.8,1.472,2.50413,0.00871,0.70928,0.18583,0.1975,0.12325,1.38015,2.28,0.01004,0.000301212,0.000301212,0.000301212
3,35488.5,1.46565,2.08765,0.00862,0.69477,0.21587,0.23277,0.14345,1.37492,1.91296,0.01019,0.000428484,0.000428484,0.000428484
4,37746.8,1.46658,1.84601,0.00846,0.59111,0.27867,0.2734,0.16515,1.38684,1.67439,0.01042,0.000405314,0.000405314,0.000405314
5,40006.5,1.45317,1.69261,0.00854,0.63554,0.29873,0.29514,0.17784,1.38226,1.53862,0.0103,0.000381752,0.000381752,0.000381752
6,42263.6,1.44172,1.5937,0.0084,0.64107,0.3092,0.30666,0.18636,1.36608,1.45577,0.01003,0.00035819,0.00035819,0.00035819
7,44520.4,1.43973,1.51901,0.00833,0.6591,0.31643,0.32584,0.19454,1.3827,1.38831,0.01035,0.000334628,0.000334628,0.000334628
8,46776.1,1.43486,1.4839,0.00832,0.60791,0.31843,0.34161,0.20497,1.36774,1.34735,0.01,0.000311066,0.000311066,0.000311066
9,49032,1.43223,1.45037,0.0082,0.58543,0.33738,0.35396,0.21461,1.35053,1.31066,0.00989,0.000287504,0.000287504,0.000287504
10,51279,1.42064,1.40539,0.00817,0.68523,0.33207,0.36287,0.21819,1.34728,1.29336,0.00973,0.000263942,0.000263942,0.000263942
11,53515.5,1.38592,1.2902,0.00852,0.4563,0.36659,0.37449,0.22603,1.34198,1.26234,0.00982,0.00024038,0.00024038,0.00024038
12,55757,1.36673,1.24727,0.00829,0.5478,0.36577,0.37853,0.22899,1.34182,1.2395,0.00968,0.000216818,0.000216818,0.000216818
13,58001.4,1.36016,1.21279,0.00816,0.59391,0.37845,0.38737,0.23365,1.33408,1.22008,0.00962,0.000193256,0.000193256,0.000193256
14,60246.6,1.34708,1.1891,0.00816,0.6064,0.37259,0.38976,0.23712,1.32997,1.21063,0.00954,0.000169694,0.000169694,0.000169694
15,62490.8,1.34799,1.17884,0.00792,0.55485,0.36493,0.3949,0.24061,1.32334,1.19977,0.00952,0.000146132,0.000146132,0.000146132
16,64732.6,1.33947,1.15489,0.00789,0.62699,0.37341,0.39931,0.24355,1.32193,1.18646,0.00945,0.00012257,0.00012257,0.00012257
17,69683.6,1.32616,1.14721,0.00782,0.59968,0.37617,0.40022,0.24493,1.31562,1.18402,0.00937,9.9008e-05,9.9008e-05,9.9008e-05
18,71916.9,1.3212,1.13969,0.00772,0.5962,0.38344,0.40241,0.24575,1.31726,1.1769,0.00936,7.5446e-05,7.5446e-05,7.5446e-05
19,74156,1.32443,1.13172,0.00772,0.5467,0.38608,0.4076,0.24905,1.31286,1.17366,0.00928,5.1884e-05,5.1884e-05,5.1884e-05
20,76394.1,1.32025,1.12912,0.00765,0.51773,0.38504,0.40797,0.24916,1.31143,1.17338,0.00926,2.8322e-05,2.8322e-05,2.8322e-05
